video_base,t_start_sec_x,t_end_sec_x,trimmed_name,start_frame12,window_activity,lat,long,timestamp,id,id_person,camera
columpioscam2-2024-12-13_18-36-00.mp4,23.666666666666668,27.666666666666668,trimmed_columpioscam2-2024-12-13_18-36-00_00-00-24_to_00-00-28_36.mp4,284.0,7.713624249770756,25.653114318847656,-100.28590393066406,2024-12-14 00:36:00.488792+00:00,columpioscam2-2024-12-13_18-36-00.mp4:6c6981e3-05a8-401c-9411-05fd885622d3:0,6c6981e3-05a8-401c-9411-05fd885622d3,columpioscam2
columpioscam2-2024-12-13_18-36-00.mp4,23.666666666666668,27.666666666666668,trimmed_columpioscam2-2024-12-13_18-36-00_00-00-24_to_00-00-28_36.mp4,93.0,2.982553365408397,25.653114318847656,-100.28590393066406,2024-12-14 00:36:00.488792+00:00,columpioscam2-2024-12-13_18-36-00.mp4:6c6981e3-05a8-401c-9411-05fd885622d3:0,6c6981e3-05a8-401c-9411-05fd885622d3,columpioscam2
columpioscam2-2024-12-13_21-08-00.mp4,8.083333333333334,12.083333333333334,trimmed_columpioscam2-2024-12-13_21-08-00_00-00-08_to_00-00-12_37.mp4,97.0,7.713624249770756,25.65314292907715,-100.2858428955078,2024-12-14 03:08:00.042970+00:00,columpioscam2-2024-12-13_21-08-00.mp4:c1d5cb73-63ad-4b47-90f4-2fa4e0659a57:0,c1d5cb73-63ad-4b47-90f4-2fa4e0659a57,columpioscam2
columpios_cam4-2024-09-27 13:05:01.mp4,9.166666666666666,13.166666666666666,trimmed_columpios_cam4-2024-09-27_13_05_01_00-00-09_to_00-00-13_38.mp4,110.0,7.713624249770756,25.653017044067,-100.285873413085,2024-09-27 19:05:01.041668+00:00,columpios_cam4-2024-09-27_130501.mp4:2cc2cc78-0fd1-42eb-9875-aca9018884a0:0,2cc2cc78-0fd1-42eb-9875-aca9018884a0,columpios_cam4
columpioscam2-2024-11-16 13:13:06.mp4,5.333333333333333,9.333333333333332,trimmed_columpioscam2-2024-11-16_13_13_06_00-00-05_to_00-00-09_39.mp4,64.0,7.713624249770756,25.653099060058,-100.28588104248,2024-11-16 19:13:06.043085+00:00,columpioscam2-2024-11-16_131306.mp4:98e50c6d-7da0-4bd1-af0c-a51208ced3b8:0,98e50c6d-7da0-4bd1-af0c-a51208ced3b8,columpioscam2
columpioscam2-2024-12-09_18-58-00.mp4,7.666666666666667,11.666666666666668,trimmed_columpioscam2-2024-12-09_18-58-00_00-00-08_to_00-00-12_40.mp4,92.0,7.713624249770756,25.65314483642578,-100.2857894897461,2024-12-10 00:58:00.046306+00:00,columpioscam2-2024-12-09_18-58-00.mp4:3b91475c-2cb0-4d04-bc35-e7684710ba82:0,3b91475c-2cb0-4d04-bc35-e7684710ba82,columpioscam2
columpioscam1-2024-11-12 11:45:11.mp4,10.0,14.0,trimmed_columpioscam1-2024-11-12_11_45_11_00-00-10_to_00-00-14_41.mp4,120.0,7.713624249770756,25.653154373168,-100.285636901855,2024-11-12 17:45:11.041494+00:00,columpioscam1-2024-11-12_114511.mp4:3284407d-6608-4579-a574-c582c9317260:0,3284407d-6608-4579-a574-c582c9317260,columpioscam1
columpioscam1-2024-11-13 20:20:24.mp4,15.583333333333334,19.583333333333336,trimmed_columpioscam1-2024-11-13_20_20_24_00-00-16_to_00-00-20_42.mp4,187.0,7.713624249770756,25.653141021728,-100.285675048828,2024-11-14 02:20:24.041620+00:00,columpioscam1-2024-11-13_202024.mp4:f6d4ee67-7654-42b9-92b6-cb33362b66dc:0,f6d4ee67-7654-42b9-92b6-cb33362b66dc,columpioscam1
columpioscam1-2024-11-16 18:13:58.mp4,13.0,17.0,trimmed_columpioscam1-2024-11-16_18_13_58_00-00-13_to_00-00-17_43.mp4,156.0,7.713624249770756,25.65312385559,-100.285652160644,2024-11-17 00:13:58.044407+00:00,columpioscam1-2024-11-16_181358.mp4:f50c67f5-8f04-421d-9557-0b1d4aa625f6:0,f50c67f5-8f04-421d-9557-0b1d4aa625f6,columpioscam1
columpioscam2-2024-12-13_12-18-00.mp4,5.583333333333333,9.583333333333332,trimmed_columpioscam2-2024-12-13_12-18-00_00-00-06_to_00-00-10_44.mp4,67.0,7.713624249770756,25.653120040893555,-100.28579711914062,2024-12-13 18:18:00.042895+00:00,columpioscam2-2024-12-13_12-18-00.mp4:f591e442-0716-4ee7-9e1f-5b50d70a6a23:0,f591e442-0716-4ee7-9e1f-5b50d70a6a23,columpioscam2
